Data Type,Data Size,Algorithm,Time (s),Comparisons
random,100,QuickSort,4.28e-05,6634
random,100,MergeSort(LCP),3.62e-05,1268
random,100,MSD Radix,0.0003345,178
random,100,Hybrid MSD Radix,2.77e-05,352
random,100,std::sort,1.4e-05,774
random,100,std::stable_sort,1.62e-05,612
random,200,QuickSort,7.46e-05,11825
random,200,MergeSort(LCP),7.92e-05,2993
random,200,MSD Radix,0.0005938,389
random,200,Hybrid MSD Radix,5.61e-05,1123
random,200,std::sort,3.23e-05,1837
random,200,std::stable_sort,3.17e-05,1396
random,300,QuickSort,0.0001201,17845
random,300,MergeSort(LCP),0.0001319,4999
random,300,MSD Radix,0.000885,613
random,300,Hybrid MSD Radix,6.86e-05,2367
random,300,std::sort,4.5e-05,2941
random,300,std::stable_sort,5.35e-05,2264
random,400,QuickSort,0.0001756,26954
random,400,MergeSort(LCP),0.0001938,7035
random,400,MSD Radix,0.0010463,837
random,400,Hybrid MSD Radix,8.34e-05,3635
random,400,std::sort,6.09e-05,4221
random,400,std::stable_sort,7.28e-05,3173
random,500,QuickSort,0.0002198,33049
random,500,MergeSort(LCP),0.000227,9249
random,500,MSD Radix,0.0011424,1048
random,500,Hybrid MSD Radix,0.0001115,5152
random,500,std::sort,7.85e-05,5407
random,500,std::stable_sort,9.22e-05,4375
random,1000,QuickSort,0.0004467,62631
random,1000,MergeSort(LCP),0.0005042,21497
random,1000,MSD Radix,0.0019322,2184
random,1000,Hybrid MSD Radix,0.0002574,17168
random,1000,std::sort,0.0002613,12238
random,1000,std::stable_sort,0.0002195,9740
random,1500,QuickSort,0.0007332,102461
random,1500,MergeSort(LCP),0.0008923,34853
random,1500,MSD Radix,0.0029723,3380
random,1500,Hybrid MSD Radix,0.0005302,36312
random,1500,std::sort,0.0003335,18470
random,1500,std::stable_sort,0.0004429,14908
random,2000,QuickSort,0.0010263,141947
random,2000,MergeSort(LCP),0.0010966,49125
random,2000,MSD Radix,0.0045017,4621
random,2000,Hybrid MSD Radix,0.0005526,61125
random,2000,std::sort,0.000382,26262
random,2000,std::stable_sort,0.0004293,21456
random,3000,QuickSort,0.001684,229957
random,3000,MergeSort(LCP),0.0017154,78825
random,3000,MSD Radix,0.0080245,7279
random,3000,Hybrid MSD Radix,0.0011635,132890
random,3000,std::sort,0.0006082,41850
random,3000,std::stable_sort,0.0006852,32822
reverse_sorted,100,QuickSort,1.06e-05,1145
reverse_sorted,100,MergeSort(LCP),3.73e-05,1208
reverse_sorted,100,MSD Radix,0.0002571,237
reverse_sorted,100,Hybrid MSD Radix,6.05e-05,7210
reverse_sorted,100,std::sort,9.3e-06,526
reverse_sorted,100,std::stable_sort,1.16e-05,266
reverse_sorted,200,QuickSort,2.26e-05,3063
reverse_sorted,200,MergeSort(LCP),7.67e-05,2642
reverse_sorted,200,MSD Radix,0.0004691,483
reverse_sorted,200,Hybrid MSD Radix,0.000112,15033
reverse_sorted,200,std::sort,1.82e-05,1242
reverse_sorted,200,std::stable_sort,2.11e-05,632
reverse_sorted,300,QuickSort,3.95e-05,5391
reverse_sorted,300,MergeSort(LCP),0.0001235,4154
reverse_sorted,300,MSD Radix,0.0007474,736
reverse_sorted,300,Hybrid MSD Radix,0.0001782,24495
reverse_sorted,300,std::sort,3.05e-05,2174
reverse_sorted,300,std::stable_sort,3.52e-05,1012
reverse_sorted,400,QuickSort,5.78e-05,7738
reverse_sorted,400,MergeSort(LCP),0.000165,5746
reverse_sorted,400,MSD Radix,0.0010096,981
reverse_sorted,400,Hybrid MSD Radix,0.0002325,32643
reverse_sorted,400,std::sort,3.87e-05,2874
reverse_sorted,400,std::stable_sort,4.77e-05,1462
reverse_sorted,500,QuickSort,7.26e-05,9767
reverse_sorted,500,MergeSort(LCP),0.0002109,7447
reverse_sorted,500,MSD Radix,0.0012263,1216
reverse_sorted,500,Hybrid MSD Radix,0.0002831,40654
reverse_sorted,500,std::sort,4.59e-05,3574
reverse_sorted,500,std::stable_sort,5.89e-05,1898
reverse_sorted,1000,QuickSort,0.0001785,23589
reverse_sorted,1000,MergeSort(LCP),0.0004527,15962
reverse_sorted,1000,MSD Radix,0.0025153,2429
reverse_sorted,1000,Hybrid MSD Radix,0.0005639,80604
reverse_sorted,1000,std::sort,0.0001028,8138
